"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20241001";"20250904";"10UP";"00";"OBS Camelot";"5403XC";"UDEN";"1991";"Maashorst";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"10UU";"00";"Basisschool Op Avontuur";"1767CD";"KOLHORN";"1911";"Hollands Kroon";"Noord-Holland";"Bo";"Openbaar";"41438";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10UW";"00";"Dr Theun de Vriesskoalle";"9269NZ";"FEANWALDEN";"1891";"Dantumadiel";"Friesland";"Bo";"Openbaar";"41492";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"7";"<5";"<5"
"20241001";"20250904";"10UZ";"00";"De Schovenhorst";"3881NC";"PUTTEN";"0273";"Putten";"Gelderland";"Bo";"Openbaar";"41345";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"6";"<5";"7";"0"
"20241001";"20250904";"10VA";"00";"Basisschool Jan Thies";"9451KE";"ROLDE";"1680";"Aa en Hunze";"Drenthe";"Bo";"Openbaar";"41899";"0";"0";"0";"<5";"<5";"<5";"5";"<5";"5";"<5";"11";"0"
"20241001";"20250904";"10VB";"00";"obs 't Padland";"1606NL";"VENHUIZEN";"0498";"Drechterland";"Noord-Holland";"Bo";"Openbaar";"13662";"0";"0";"0";"<5";"5";"0";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10VC";"00";"Kindcentrum Hagewinde";"7384AS";"WILP";"0285";"Voorst";"Gelderland";"Bo";"Openbaar";"41566";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10VD";"00";"Opb Basissch de Margriet";"2262EA";"LEIDSCHENDAM";"1916";"Leidschendam-Voorburg";"Zuid-Holland";"Bo";"Openbaar";"41447";"0";"0";"0";"0";"0";"<5";"<5";"5";"<5";"0";"<5";"0"
"20241001";"20250904";"10VH";"00";"Basisschool Jan Ligthart";"9903ET";"APPINGEDAM";"1979";"Eemsdelta";"Groningen";"Bo";"Openbaar";"41574";"0";"0";"<5";"<5";"8";"<5";"5";"5";"<5";"7";"0";"0"
"20241001";"20250904";"10VK";"00";"Daltonschool Oegstgeest";"2343BK";"OEGSTGEEST";"0579";"Oegstgeest";"Zuid-Holland";"Bo";"Openbaar";"13682";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"6";"9";"0"
