"PEILDATUM_LEERLINGEN";"PRIKDATUM_ADVIEZEN";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20221001";"20230501";"05RC";"00";"Kindcentrum De Klister";"9521BC";"NIEUW-BUINEN";"1681";"Borger-Odoorn";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"<5";"<5";"<5";"0";"<5";"0";"15";"0";"<5";"0";"9";"0"
"20221001";"20230501";"05RD";"00";"CKC School 59";"9521AD";"NIEUW-BUINEN";"1681";"Borger-Odoorn";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"765";"Pekela";"Groningen";"Bo";"Protestants-Christelijk";"41845";"<5";"0";"<5";"0";"6";"<5";"<5";"<5";"<5";"0";"<5";"0"
"20221001";"20230501";"05RG";"00";"School Met De Bijbel";"3626AV";"NIEUWER TER AA";"1904";"Stichtse Vecht";"Utrecht";"Bo";"Reformatorisch";"41534";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"05RH";"00";"Maranatha Basisschool";"2421NK";"NIEUWKOOP";"569";"Nieuwkoop";"Zuid-Holland";"Bo";"Protestants-Christelijk";"40974";"0";"0";"<5";"0";"0";"<5";"5";"7";"<5";"6";"<5";"0"
"20221001";"20230501";"05RK";"00";"Basisschool  de Verbinding";"1393PT";"NIGTEVECHT";"1904";"Stichtse Vecht";"Utrecht";"Bo";"Protestants-Christelijk";"41138";"0";"0";"0";"0";"<5";"0";"7";"<5";"6";"<5";"<5";"0"
"20221001";"20230501";"05RL";"00";"School Met De Bijbel";"4225RT";"NOORDELOOS";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Protestants-Christelijk";"89012";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"<5";"0"
"20221001";"20230501";"05RM";"00";"CBS de Ferbining";"8566JH";"NIJEMIRDUM";"1940";"De Fryske Marren";"Friesland";"Bo";"Protestants-Christelijk";"41385";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0"
"20221001";"20230501";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"1701";"Westerveld";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"05RO";"00";"Rehoboth Basisschool";"4051GS";"OCHTEN";"1740";"Neder-Betuwe";"Gelderland";"Bo";"Protestants-Christelijk";"41154";"0";"0";"<5";"0";"5";"<5";"<5";"<5";"0";"5";"<5";"0"
"20221001";"20230501";"05RR";"00";"IKC De Flambou";"8854AN";"OOSTERBIERUM";"1949";"Waadhoeke";"Friesland";"Bo";"Protestants-Christelijk";"42656";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0"
"20221001";"20230501";"05RS";"00";"Eben Haezerschool";"8536VH";"OOSTERZEE";"1940";"De Fryske Marren";"Friesland";"Bo";"Protestants-Christelijk";"42540";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0"
"20221001";"20230501";"05RT";"00";"Eben Haezersch";"4356DC";"OOSTKAPELLE";"717";"Veere";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"5";"<5";"0";"5";"<5";"<5";"0"
"20221001";"20230501";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"431";"Oostzaan";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"0";"<5";"<5";"7";"<5";"5";"<5";"11";"<5";"9";"0"
"20221001";"20230501";"05RW";"00";"De Hervormde School";"4043LH";"OPHEUSDEN";"1740";"Neder-Betuwe";"Gelderland";"Bo";"Reformatorisch";"41827";"0";"0";"<5";"0";"8";"<5";"<5";"0";"9";"0";"<5";"0"
"20221001";"20230501";"05RX";"00";"Klaver Fjouwer";"8614XD";"OUDEGA SUDWEST-FRYSLAN";"1900";"SÂ·dwest-FryslÃn";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0"
"20221001";"20230501";"05RY";"00";"Chr Bs De Tarissing";"8465RE";"OUDEHASKE";"1940";"De Fryske Marren";"Friesland";"Bo";"Protestants-Christelijk";"42540";"0";"0";"7";"0";"<5";"0";"<5";"0";"7";"0";"<5";"0"
"20221001";"20230501";"05RZ";"00";"Chr Bs De Zevensprong";"9665HS";"OUDE PEKELA";"765";"Pekela";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0"
"20221001";"20230501";"05SB";"00";"Basisschool De Bron";"3255TE";"OUDE-TONGE";"1924";"Goeree-Overflakkee";"Zuid-Holland";"Bo";"Protestants-Christelijk";"42632";"0";"0";"0";"0";"<5";"0";"6";"<5";"<5";"0";"<5";"0"
"20221001";"20230501";"05SC";"00";"Kindcentrum het Baken";"1834CG";"SINT PANCRAS";"1980";"Dijk en Waard";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"0";"<5";"0";"<5";"<5";"<5";"7";"5";"<5";"5";"0"
"20221001";"20230501";"05SE";"00";"Sch met de Bijbel De Akker";"7933PG";"PESSE";"118";"Hoogeveen";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"05SF";"00";"Basisschool De Wegwijzer";"3265BH";"PIERSHIL";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41127";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0"
"20221001";"20230501";"05SG";"00";"Juliana v Stolbergschool";"5307HK";"POEDEROIJEN";"297";"Zaltbommel";"Gelderland";"Bo";"Reformatorisch";"42794";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"6";"0";"0"
"20221001";"20230501";"05SI";"00";"Eben Haezerschool";"3415PW";"POLSBROEK";"331";"Lopik";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"6";"<5";"0"
"20221001";"20230501";"05SJ";"00";"PCB De Wegwijzer";"3882XE";"PUTTEN";"273";"Putten";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"0";"<5";"0";"6";"0";"<5";"<5";"8";"6";"<5";"0"
