"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20231001";"17BU";"00";"OBS Erica De Anbrenge";"7887AD";"ERICA";"114";"Emmen";"Drenthe";"Bo";"Openbaar";"42830";"<5";"12";"<5";"0";"0";"9";"10";"0";"8";"11"
"20231001";"17BW";"00";"OBS Karrepad";"9715NR";"GRONINGEN";"14";"Groningen";"Groningen";"Bo";"Openbaar";"42510";"<5";"11";"27";"0";"0";"7";"32";"<5";"13";"25"
"20231001";"17BY";"00";"RK basisschool Het Talent";"4707VK";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"<5";"7";"<5";"0";"0";"7";"5";"<5";"5";"5"
"20231001";"17CA";"00";"Witte Vrouwen-School";"3572HD";"UTRECHT";"344";"Utrecht";"Utrecht";"Bo";"Openbaar";"41400";"<5";"28";"51";"0";"0";"5";"75";"<5";"27";"52"
"20231001";"17CB";"00";"Meester Baars";"3078GS";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"7";"29";"6";"0";"0";"19";"23";"<5";"28";"11"
"20231001";"17CI";"00";"RK Bs Vondel";"4707AG";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"<5";"14";"7";"0";"0";"5";"18";"<5";"11";"11"
"20231001";"17CJ";"00";"De Ontdekking PCJenaplanschool";"7323MB";"APELDOORN";"200";"Apeldoorn";"Gelderland";"Bo";"Protestants-Christelijk";"82526";"<5";"13";"<5";"0";"0";"6";"11";"<5";"10";"<5"
"20231001";"17CL";"00";"OBS De Koekoek";"3514TT";"UTRECHT";"344";"Utrecht";"Utrecht";"Bo";"Openbaar";"41400";"<5";"13";"32";"0";"0";"<5";"43";"<5";"9";"36"
"20231001";"17CM";"00";"De Regenboog";"3077SB";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"5";"34";"16";"0";"<5";"25";"29";"10";"26";"19"
"20231001";"17CT";"00";"RK Bs De Watermolen";"4707JE";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"<5";"<5";"9";"0";"0";"5";"9";"0";"9";"5"
"20231001";"17CU";"00";"PCBO De Ploeg";"7327DJ";"APELDOORN";"200";"Apeldoorn";"Gelderland";"Bo";"Protestants-Christelijk";"82526";"<5";"18";"10";"0";"<5";"<5";"23";"5";"8";"16"
"20231001";"17CV";"00";"BS Dr D Bos";"3515VB";"UTRECHT";"344";"Utrecht";"Utrecht";"Bo";"Openbaar";"41400";"7";"23";"22";"0";"<5";"16";"35";"7";"27";"18"
"20231001";"17CY";"00";"IKC Borgman Oosterpark";"9713SX";"GRONINGEN";"14";"Groningen";"Groningen";"Bo";"Openbaar";"42510";"<5";"17";"24";"0";"0";"9";"33";"0";"12";"30"
"20231001";"17DA";"00";"Basisschool Digitalis";"1314PE";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"0";"<5";"5";"0";"0";"0";"8";"0";"<5";"7"
"20231001";"17DA";"03";"Basisschool Digitalis";"1314PD";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"0";"<5";"<5";"0";"0";"<5";"6";"0";"<5";"5"
"20231001";"17DC";"00";"PCBO De Terebint";"7326TH";"APELDOORN";"200";"Apeldoorn";"Gelderland";"Bo";"Protestants-Christelijk";"82526";"<5";"15";"9";"0";"0";"5";"22";"0";"16";"11"
"20231001";"17DF";"00";"Theresia";"3073DZ";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"0";"<5";"15";"0";"0";"<5";"15";"0";"7";"11"
"20231001";"17DG";"00";"OBS Klazienaveen";"7891LM";"KLAZIENAVEEN";"114";"Emmen";"Drenthe";"Bo";"Openbaar";"42830";"<5";"19";"23";"0";"0";"16";"29";"<5";"10";"33"
"20231001";"17DI";"00";"Oosterhoogebrugschool";"9731CB";"GRONINGEN";"14";"Groningen";"Groningen";"Bo";"Openbaar";"42510";"<5";"18";"17";"0";"0";"6";"31";"<5";"14";"21"
"20231001";"17DK";"00";"De Tjasker";"1333EB";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"6";"10";"<5";"0";"<5";"10";"5";"<5";"11";"5"
"20231001";"17DP";"00";"Sterrenschool De Globetrotter";"3072EA";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"5";"16";"6";"0";"<5";"10";"16";"<5";"14";"10"
