"PEILDATUM_LEERLINGEN";"PRIKDATUM_SCORES";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"CET_AANTAL";"CET_GEM";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM"
"20221001";"20230601";"04ZM";"00";"De Binckhorst Sint Jan";"1251NA";"LAREN NH";"417";"Laren";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"53";537,528301886792;"<5";NA;"0";0;"0";0;"0";0
"20221001";"20230601";"04ZO";"00";"Sint Willibrordus";"7742AJ";"COEVORDEN";"109";"Coevorden";"Drenthe";"Bo";"Rooms-Katholiek";"40888";"0";"0";0;"46";78,1521739130435;"0";0;"0";0;"0";0
"20221001";"20230601";"04ZS";"00";"KBS Carolus";"3945BN";"COTHEN";"352";"Wijk bij Duurstede";"Utrecht";"Bo";"Rooms-Katholiek";"41148";"0";"0";0;"0";0;"15";208,533333333333;"0";0;"0";0
"20221001";"20230601";"04ZT";"00";"De Drie Linden";"2563HJ";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Bo";"Rooms-Katholiek";"20281";"<5";"0";0;"19";83,4736842105263;"0";0;"0";0;"0";0
"20221001";"20230601";"04ZV";"00";"RK Basisschool De Keerkring";"6267EM";"CADIER EN KEER";"1903";"Eijsden-Margraten";"Limburg";"Bo";"Rooms-Katholiek";"42669";"<5";"0";0;"0";0;"23";214,521739130435;"0";0;"0";0
"20221001";"20230601";"04ZW";"00";"Basissch De Springplank";"5261VK";"VUGHT";"865";"Vught";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"0";0;"0";0;"0";0;"28";357,678571428571;"0";0
"20221001";"20230601";"04ZX";"00";"SWS De Kring";"8308AL";"NAGELE";"171";"Noordoostpolder";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"18";533,833333333333;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05AI";"00";"Sint Ludgerus-School";"8561DP";"BALK";"1940";"De Fryske Marren";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"6";537,333333333333;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05AO";"00";"De Windhoek";"1935AG";"EGMOND-BINNEN";"373";"Bergen (NH.)";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"<5";"12";538;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05AT";"00";"Pax Christi";"7586BV";"OVERDINKEL";"168";"Losser";"Overijssel";"Bo";"Rooms-Katholiek";"40903";"0";"25";526,68;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05AU";"00";"Sint Leonardus";"3232DA";"BRIELLE";"501";"Brielle";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41570";"0";"0";0;"53";85,2452830188679;"0";0;"0";0;"0";0
"20221001";"20230601";"05AY";"00";"Chr Basisschool De Ark";"4268GK";"MEEUWEN";"1959";"Altena";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41239";"0";"6";534,666666666667;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05BB";"00";"Basisschool St Martinus";"6247CM";"GRONSVELD";"1903";"Eijsden-Margraten";"Limburg";"Bo";"Rooms-Katholiek";"42669";"<5";"0";0;"0";0;"28";219,535714285714;"0";0;"0";0
"20221001";"20230601";"05BC";"00";"St Adalbertusschool Bo";"2064XT";"SPAARNDAM";"394";"Haarlemmermeer";"Noord-Holland";"Bo";"Rooms-Katholiek";"85255";"0";"0";0;"15";78,4666666666667;"0";0;"0";0;"0";0
"20221001";"20230601";"05BE";"00";"Dr Plesmanschool";"1171TK";"BADHOEVEDORP";"394";"Haarlemmermeer";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"20";540,75;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05BF";"00";"St. Willibrordus";"2158MC";"BUITENKAAG";"394";"Haarlemmermeer";"Noord-Holland";"Bo";"Rooms-Katholiek";"42683";"0";"9";531,111111111111;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05BG";"00";"Pelikaan";"2851BM";"HAASTRECHT";"1931";"Krimpenerwaard";"Zuid-Holland";"Bo";"Samenwerking Opb., RK";"40765";"0";"0";0;"0";0;"31";191,129032258065;"0";0;"0";0
"20221001";"20230601";"05BH";"00";"St Barbara";"1747HA";"TUITJENHORN";"441";"Schagen";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"0";0;"48";77,8125;"0";0;"0";0;"0";0
"20221001";"20230601";"05BI";"00";"Basisschool Sint Jan";"1738BT";"WAARLAND";"441";"Schagen";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"0";0;"30";73,1;"0";0;"0";0;"0";0
"20221001";"20230601";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"72";"Harlingen";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"37";541,189189189189;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05BK";"00";"KBs De Notenbalk";"3481VR";"HARMELEN";"632";"Woerden";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"21";537,142857142857;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"05BL";"00";"Basisschool Sint Michael";"2391VB";"HAZERSWOUDE-DORP";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"18";535;"0";0;"0";0;"0";0;"0";0
